"id";"name";"parent_id"
1;"Light Lager";0
2;"Pilsner";0
3;"European Amber Lager";0
4;"Dark Lager";0
5;"Bock";0
6;"Light Hybrid Beer";0
7;"Amber Hybrid Beer";0
8;"English Pale Ale";0
9;"Scottish and Irish Ale";0
10;"American Ale";0
11;"English Brown Ale";0
12;"Porter";0
13;"Stout";0
14;"Indian Pale Ale";0
15;"German Wheat and Rye";0
16;"Belgian and French Ale";0
17;"Sour Ale";0
18;"Belgian Strong Ale";0
19;"Strong Ale";0
20;"Fruit Beer";0
21;"Spice / Herb / Vegetable Beer";0
22;"Smoke-Flavored and Wood-Aged Beer";0
23;"Specialty Beer";0
